date,holiday,holiday_type
2021-10-19,Milad-un-Nabi or Id-e-Milad (Birthday of Prophet Mohammad),Gazetted
2021-10-20,Maharishi Valmiki's Birthday (R),Restricted
2021-10-24,Karaka Chaturthi (Karva Chouth) (R),Restricted
2021-11-04,Naraka Chaturdasi (R),Restricted
2021-11-05,Govardhan Puja (R),Restricted
2021-11-06,Bhai Duj (R),Restricted
2021-11-10,Pratihar Sashthi or Surya Sashthi (Chhat Puja) (R),Restricted
2021-11-19,Guru Nanak's Birthday,Gazetted
2021-11-24,Guru Teg Bahadur's Martyrdom Day (R),Restricted
2021-12-24,Christmas Eve (R),Restricted
2021-12-25,Christmas Day,Gazetted
2022-01-01,New Year's Day,Restricted
2022-01-09,Guru Govind Singh's Birthday,Restricted
2022-01-13,Lohri,Restricted
2022-01-14,Makar Sankranti / Pongal,Restricted
2022-01-26,Republic Day,Gazetted
2022-02-05,Basant Panchami/Sri Panchami,Restricted
2022-02-16,Guru Ravidas's Birthday,Restricted
2022-02-19,Shivaji Jayanti,Restricted
2022-02-26,Swami Dayananda Saraswati Jayanti,Restricted
2022-03-01,Maha Shivaratri,Restricted
2022-03-17,Holika Dahana / Hazarat Ali's Birthday,Restricted
2022-03-18,Holi,Gazetted
2022-04-02,Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand,Restricted
2022-04-10,Ram Navami,Gazetted
2022-04-14,Mahavir Jayanti,Gazetted
2022-04-15,Good Friday,Gazetted
2022-04-17,Easter Day,Restricted
2022-04-29,Jamat Ul-Vida,Restricted
2022-05-03,Idu'l Fitr,Gazetted
2022-05-09,Guru Rabindranath's birthday,Restricted
2022-05-16,Buddha Purnima,Gazetted
2022-07-01,Rath Yatra,Restricted
2022-07-10,Id-ul-Zuha(Bakrid),Gazetted
2022-08-09,Muharram,Gazetted
2022-08-11,Raksha Bandhan(Rakhi),Restricted
2022-08-15,Independence Day,Gazetted
2022-08-16,Parsi New Year's day/Nauraj,Restricted
2022-08-18,Janmashtami (Smarta),Restricted
2022-08-19,Janmashtami,Gazetted
2022-08-31,Vinayaka Chaturthi /Ganesh Chaturthi,Restricted
2022-09-08,Onam or Thiru onam day,Restricted
2022-10-02,Mahatma Gandhi Jayanti,Gazetted
2022-10-03,Dussehra (Maha Ashtami),Restricted
2022-10-04,Dussehra (Maha Navmi),Restricted
2022-10-05,Dussehra,Gazetted
2022-10-09,Milad-un-Nabi or Id-e-Milad (Birthday of Prophet Mohammad),Gazetted
2022-10-13,Karaka Chaturthi (Karva Chouth),Restricted
2022-10-24,Diwali (Deepavali),Gazetted
2022-10-25,Govardhan Puja,Restricted
2022-10-26,Bhai Duj,Restricted
2022-10-30,Pratihar Sashthi or Surya Sashthi (Chhat Puja),Restricted
2022-11-08,Guru Nanak's Birthday,Gazetted
2022-11-24,Guru Teg Bahadur's Martyrdom Day,Restricted
2022-12-24,Christmas Eve,Restricted
2022-12-25,Christmas Day,Gazetted
2022-12-29,Guru Gobind Singh's Birthday,Restricted
2023-01-01,New Year's Day,Restricted
2023-01-13,Lohri,Restricted
2023-01-14,Makar Sankranti / Pongal,Restricted
2023-01-20,Guru Govind Singh's Birthday,Restricted
2023-01-26,Republic Day,Gazetted
2023-01-26,Vasant Panchami/Sri Panchami,Restricted
2023-02-05,Guru Ravidas's Birthday,Restricted
2023-02-15,Swami Dayananda Saraswati Jayanti,Restricted
2023-02-18,Maha Shivaratri,Restricted
2023-02-19,Shivaji Jayanti,Restricted
2023-03-07,Holika Dahana,Restricted
2023-03-08,Holi,Gazetted
