State,Date,Hourly Demand Met (in MW)
Delhi - 2017,08-Jan 3pm,2631.85
Delhi - 2017,08-Jan 4pm,2537.05
Delhi - 2017,08-Jan 5pm,2674.00
Delhi - 2017,08-Jan 6pm,2903.92
Delhi - 2017,08-Jan 7pm,2881.11
Delhi - 2017,08-Jan 8pm,2753.17
Delhi - 2017,08-Jan 9pm,2532.17
Delhi - 2017,08-Jan 10pm,2242.20
Delhi - 2017,08-Jan 11pm,1919.18
Delhi - 2017,09-Jan 12am,1652.96
Delhi - 2017,09-Jan 1am,1492.27
Delhi - 2017,09-Jan 2am,1424.44
Delhi - 2017,09-Jan 3am,1391.57
Delhi - 2017,09-Jan 4am,1458.74
Delhi - 2017,09-Jan 5am,1707.20
Delhi - 2017,09-Jan 6am,2310.02
Delhi - 2017,09-Jan 7am,3001.72
Delhi - 2017,09-Jan 8am,3327.39
Delhi - 2017,09-Jan 9am,3509.21
Delhi - 2017,09-Jan 10am,3765.77
Delhi - 2017,09-Jan 11am,3603.76
Delhi - 2017,09-Jan 12pm,3350.61
Delhi - 2017,09-Jan 1pm,2969.48
Delhi - 2017,09-Jan 2pm,2891.67
Delhi - 2017,09-Jan 3pm,2812.36
Delhi - 2017,09-Jan 4pm,2829.01
Delhi - 2017,09-Jan 5pm,2969.62
Delhi - 2017,09-Jan 6pm,3199.79
Delhi - 2017,09-Jan 7pm,3180.44
Delhi - 2017,09-Jan 8pm,2973.90
Delhi - 2017,09-Jan 9pm,2727.71
Delhi - 2017,09-Jan 10pm,2415.78
Delhi - 2017,09-Jan 11pm,2020.52
Delhi - 2017,10-Jan 12am,1728.56
Delhi - 2017,10-Jan 1am,1566.22
Delhi - 2017,10-Jan 2am,1488.36
Delhi - 2017,10-Jan 3am,1460.13
Delhi - 2017,10-Jan 4am,1518.30
Delhi - 2017,10-Jan 5am,1780.11
Delhi - 2017,10-Jan 6am,2363.48
Delhi - 2017,10-Jan 7am,3050.62
Delhi - 2017,10-Jan 8am,3493.82
Delhi - 2017,10-Jan 9am,3704.55
Delhi - 2017,10-Jan 10am,3828.20
Delhi - 2017,10-Jan 11am,3646.55
Delhi - 2017,10-Jan 12pm,3391.65
Delhi - 2017,10-Jan 1pm,2988.12
Delhi - 2017,10-Jan 2pm,2922.29
Delhi - 2017,10-Jan 3pm,2852.26
Delhi - 2017,10-Jan 4pm,2840.60
Delhi - 2017,10-Jan 5pm,3021.11
Delhi - 2017,10-Jan 6pm,3312.72
Delhi - 2017,10-Jan 7pm,3252.29
Delhi - 2017,10-Jan 8pm,3088.62
Delhi - 2017,10-Jan 9pm,2811.03
Delhi - 2017,10-Jan 10pm,2489.94
Delhi - 2017,10-Jan 11pm,2079.16
Delhi - 2017,11-Jan 12am,1727.31
Delhi - 2017,11-Jan 1am,1561.28
Delhi - 2017,11-Jan 2am,1480.18
Delhi - 2017,11-Jan 3am,1453.82
Delhi - 2017,11-Jan 4am,1508.99
Delhi - 2017,11-Jan 5am,1791.61
Delhi - 2017,11-Jan 6am,2471.06
Delhi - 2017,11-Jan 7am,3197.25
Delhi - 2017,11-Jan 8am,3572.08
Delhi - 2017,11-Jan 9am,3804.00
Delhi - 2017,11-Jan 10am,3907.16
Delhi - 2017,11-Jan 11am,3731.10
Delhi - 2017,11-Jan 12pm,3533.02
Delhi - 2017,11-Jan 1pm,3126.07
Delhi - 2017,11-Jan 2pm,3079.84
Delhi - 2017,11-Jan 3pm,3031.83
Delhi - 2017,11-Jan 4pm,2994.03
Delhi - 2017,11-Jan 5pm,3128.46
Delhi - 2017,11-Jan 6pm,3398.59
Delhi - 2017,11-Jan 7pm,3342.98
Delhi - 2017,11-Jan 8pm,3183.90
Delhi - 2017,11-Jan 9pm,2882.19
Delhi - 2017,11-Jan 10pm,2594.88
Delhi - 2017,11-Jan 11pm,2148.12
Delhi - 2017,12-Jan 12am,1833.95
Delhi - 2017,12-Jan 1am,1644.94
Delhi - 2017,12-Jan 2am,1557.54
Delhi - 2017,12-Jan 3am,1521.15
Delhi - 2017,12-Jan 4am,1575.51
Delhi - 2017,12-Jan 5am,1836.28
Delhi - 2017,12-Jan 6am,2525.53
Delhi - 2017,12-Jan 7am,3164.81
Delhi - 2017,12-Jan 8am,3530.44
Delhi - 2017,12-Jan 9am,3724.88
Delhi - 2017,12-Jan 10am,3935.10
Delhi - 2017,12-Jan 11am,3754.33
Delhi - 2017,12-Jan 12pm,3519.99
Delhi - 2017,12-Jan 1pm,3143.79
Delhi - 2017,12-Jan 2pm,3032.51
Delhi - 2017,12-Jan 3pm,3062.36
Delhi - 2017,12-Jan 4pm,3025.61
Delhi - 2017,12-Jan 5pm,3183.34
Delhi - 2017,12-Jan 6pm,3485.13
Delhi - 2017,12-Jan 7pm,3423.11
Delhi - 2017,12-Jan 8pm,3207.62
Delhi - 2017,12-Jan 9pm,2926.50
Delhi - 2017,12-Jan 10pm,2681.70
Delhi - 2017,12-Jan 11pm,2248.81
Delhi - 2017,13-Jan 12am,1833.95
Delhi - 2017,13-Jan 1am,1644.94
Delhi - 2017,13-Jan 2am,1557.54
Delhi - 2017,13-Jan 3am,1521.15
Delhi - 2017,13-Jan 4am,1575.51
Delhi - 2017,13-Jan 5am,1836.28
Delhi - 2017,13-Jan 6am,2525.53
Delhi - 2017,13-Jan 7am,3164.81
Delhi - 2017,13-Jan 8am,3530.44
Delhi - 2017,13-Jan 9am,3724.88
Delhi - 2017,13-Jan 10am,3935.10
Delhi - 2017,13-Jan 11am,3952.32
Delhi - 2017,13-Jan 12pm,3787.49
Delhi - 2017,13-Jan 1pm,3323.96
Delhi - 2017,13-Jan 2pm,3161.66
Delhi - 2017,13-Jan 3pm,3062.60
Delhi - 2017,13-Jan 4pm,3022.40
Delhi - 2017,13-Jan 5pm,3189.90
Delhi - 2017,13-Jan 6pm,3482.74
Delhi - 2017,13-Jan 7pm,3433.98
Delhi - 2017,13-Jan 8pm,3173.55
Delhi - 2017,13-Jan 9pm,2900.86
Delhi - 2017,13-Jan 10pm,2629.69
Delhi - 2017,13-Jan 11pm,2245.14
Delhi - 2017,14-Jan 12am,1917.28
Delhi - 2017,14-Jan 1am,1691.80
Delhi - 2017,14-Jan 2am,1598.21
Delhi - 2017,14-Jan 3am,1549.09
Delhi - 2017,14-Jan 4am,1596.92
Delhi - 2017,14-Jan 5am,1841.62
Delhi - 2017,14-Jan 6am,2405.15
Delhi - 2017,14-Jan 7am,3059.14
Delhi - 2017,14-Jan 8am,3574.55
Delhi - 2017,14-Jan 9am,3756.68
Delhi - 2017,14-Jan 10am,3883.21
Delhi - 2017,14-Jan 11am,3883.83
Delhi - 2017,14-Jan 12pm,3480.43
Delhi - 2017,14-Jan 1pm,3052.53
Delhi - 2017,14-Jan 2pm,2940.39
Delhi - 2017,14-Jan 3pm,2874.05
Delhi - 2017,14-Jan 4pm,2834.17
Delhi - 2017,14-Jan 5pm,2985.65
Delhi - 2017,14-Jan 6pm,3243.56
Delhi - 2017,14-Jan 7pm,3226.94
Delhi - 2017,14-Jan 8pm,3061.17
Delhi - 2017,14-Jan 9pm,2808.26
Delhi - 2017,14-Jan 10pm,2496.82
Delhi - 2017,14-Jan 11pm,2123.32
Delhi - 2017,15-Jan 12am,1803.72
Delhi - 2017,15-Jan 1am,1608.97
Delhi - 2017,15-Jan 2am,1506.57
Delhi - 2017,15-Jan 3am,1464.29
Delhi - 2017,15-Jan 4am,1489.80
Delhi - 2017,15-Jan 5am,1663.52
Delhi - 2017,15-Jan 6am,2062.36
Delhi - 2017,15-Jan 7am,2626.38
Delhi - 2017,15-Jan 8am,3201.82
Delhi - 2017,15-Jan 9am,3520.69
Delhi - 2017,15-Jan 10am,3741.81
Delhi - 2017,15-Jan 11am,3678.59
Delhi - 2017,15-Jan 12pm,3407.96
Delhi - 2017,15-Jan 1pm,2982.95
Delhi - 2017,15-Jan 2pm,2788.26
Delhi - 2017,15-Jan 3pm,2678.10
Delhi - 2017,15-Jan 4pm,2638.90
Delhi - 2017,15-Jan 5pm,2759.98
Delhi - 2017,15-Jan 6pm,3070.08
Delhi - 2017,15-Jan 7pm,3072.53
Delhi - 2017,15-Jan 8pm,2924.98
Delhi - 2017,15-Jan 9pm,2713.42
Delhi - 2017,15-Jan 10pm,2454.50
Delhi - 2017,15-Jan 11pm,2062.01
Delhi - 2017,16-Jan 12am,1737.49
Delhi - 2017,16-Jan 1am,1561.28
Delhi - 2017,16-Jan 2am,1472.87
Delhi - 2017,16-Jan 3am,1446.94
Delhi - 2017,16-Jan 4am,1503.03
Delhi - 2017,16-Jan 5am,1825.39
Delhi - 2017,16-Jan 6am,2599.34
Delhi - 2017,16-Jan 7am,3187.21
