State,Date,Hourly Demand Met (in MW)
Delhi - 2024,10-Jan 12am,2402.56
Delhi - 2024,10-Jan 1am,2054.42
Delhi - 2024,10-Jan 2am,1888.92
Delhi - 2024,10-Jan 3am,1819.87
Delhi - 2024,10-Jan 4am,1882.76
Delhi - 2024,10-Jan 5am,2248.22
Delhi - 2024,10-Jan 6am,3147.91
Delhi - 2024,10-Jan 7am,4080.54
Delhi - 2024,10-Jan 8am,4719.20
Delhi - 2024,10-Jan 9am,5134.66
Delhi - 2024,10-Jan 10am,5454.60
Delhi - 2024,10-Jan 11am,5418.62
Delhi - 2024,10-Jan 12pm,5172.75
Delhi - 2024,10-Jan 1pm,4726.81
Delhi - 2024,10-Jan 2pm,4497.38
Delhi - 2024,10-Jan 3pm,4363.25
Delhi - 2024,10-Jan 4pm,4171.29
Delhi - 2024,10-Jan 5pm,4326.92
Delhi - 2024,10-Jan 6pm,4561.03
Delhi - 2024,10-Jan 7pm,4455.33
Delhi - 2024,10-Jan 8pm,4261.73
Delhi - 2024,10-Jan 9pm,4071.32
Delhi - 2024,10-Jan 10pm,3728.32
Delhi - 2024,10-Jan 11pm,3074.16
Delhi - 2024,11-Jan 12am,2474.95
Delhi - 2024,11-Jan 1am,2105.38
Delhi - 2024,11-Jan 2am,1919.83
Delhi - 2024,11-Jan 3am,1851.67
Delhi - 2024,11-Jan 4am,1914.75
Delhi - 2024,11-Jan 5am,2299.54
Delhi - 2024,11-Jan 6am,3177.22
Delhi - 2024,11-Jan 7am,4122.36
Delhi - 2024,11-Jan 8am,4710.21
Delhi - 2024,11-Jan 9am,5075.86
Delhi - 2024,11-Jan 10am,5283.80
Delhi - 2024,11-Jan 11am,5175.07
Delhi - 2024,11-Jan 12pm,4898.65
Delhi - 2024,11-Jan 1pm,4434.67
Delhi - 2024,11-Jan 2pm,4280.28
Delhi - 2024,11-Jan 3pm,4198.97
Delhi - 2024,11-Jan 4pm,4139.50
Delhi - 2024,11-Jan 5pm,4288.18
Delhi - 2024,11-Jan 6pm,4523.86
Delhi - 2024,11-Jan 7pm,4444.17
Delhi - 2024,11-Jan 8pm,4272.57
